id,user_id,products,total,discounted_total,total_products,total_quantity,created_at,updated_at,order_id,products_json,product_count,total_quantity_from_products,order_value,discount_amount,avg_product_value,sk_order,_transformed_at,_pipeline_version
171,3,"[{'id': 62, 'price': 83.21, 'title': 'Product 62', 'total': 68.23, 'quantity': 1, 'discountedPrice': 68.23, 'discountPercentage': 18.0}, {'id': 62, 'price': 467.36, 'title': 'Product 62', 'total': 1191.77, 'quantity': 3, 'discountedPrice': 397.26, 'discountPercentage': 15.0}, {'id': 75, 'price': 198.57, 'title': 'Product 75', 'total': 365.37, 'quantity': 2, 'discountedPrice': 182.68, 'discountPercentage': 8.0}]",1625.37,1544.1,3,6,2025-04-21 00:56:02.427483+00:00,2025-04-21 05:56:02.427483+00:00,171,"[{'id': 62, 'price': 83.21, 'title': 'Product 62', 'total': 68.23, 'quantity': 1, 'discountedPrice': 68.23, 'discountPercentage': 18.0}, {'id': 62, 'price': 467.36, 'title': 'Product 62', 'total': 1191.77, 'quantity': 3, 'discountedPrice': 397.26, 'discountPercentage': 15.0}, {'id': 75, 'price': 198.57, 'title': 'Product 75', 'total': 365.37, 'quantity': 2, 'discountedPrice': 182.68, 'discountPercentage': 8.0}]",3,6,1625.37,81.26999999999998,541.79,4da858063c63d484,2026-04-19T19:39:39.306863+00:00,1.0
115,22,"[{'id': 3, 'price': 474.61, 'title': 'Product 3', 'total': 412.91, 'quantity': 1, 'discountedPrice': 412.91, 'discountPercentage': 13.0}]",412.91,392.26,1,1,2025-04-22 00:56:02.423482+00:00,2025-04-22 17:56:02.423482+00:00,115,"[{'id': 3, 'price': 474.61, 'title': 'Product 3', 'total': 412.91, 'quantity': 1, 'discountedPrice': 412.91, 'discountPercentage': 13.0}]",1,1,412.91,20.650000000000034,412.91,052e5c3839a1fdac,2026-04-19T19:39:39.306863+00:00,1.0
127,75,"[{'id': 94, 'price': 449.99, 'title': 'Product 94', 'total': 1295.97, 'quantity': 3, 'discountedPrice': 431.99, 'discountPercentage': 4.0}, {'id': 78, 'price': 416.49, 'title': 'Product 78', 'total': 824.65, 'quantity': 2, 'discountedPrice': 412.33, 'discountPercentage': 1.0}, {'id': 83, 'price': 369.29, 'title': 'Product 83', 'total': 830.9, 'quantity': 3, 'discountedPrice': 276.97, 'discountPercentage': 25.0}, {'id': 77, 'price': 114.6, 'title': 'Product 77', 'total': 113.45, 'quantity': 1, 'discountedPrice': 113.45, 'discountPercentage': 1.0}, {'id': 98, 'price': 234.45, 'title': 'Product 98', 'total': 178.18, 'quantity': 1, 'discountedPrice': 178.18, 'discountPercentage': 24.0}]",3243.15,3080.99,5,10,2025-04-24 00:56:02.423482+00:00,2025-04-25 00:56:02.423482+00:00,127,"[{'id': 94, 'price': 449.99, 'title': 'Product 94', 'total': 1295.97, 'quantity': 3, 'discountedPrice': 431.99, 'discountPercentage': 4.0}, {'id': 78, 'price': 416.49, 'title': 'Product 78', 'total': 824.65, 'quantity': 2, 'discountedPrice': 412.33, 'discountPercentage': 1.0}, {'id': 83, 'price': 369.29, 'title': 'Product 83', 'total': 830.9, 'quantity': 3, 'discountedPrice': 276.97, 'discountPercentage': 25.0}, {'id': 77, 'price': 114.6, 'title': 'Product 77', 'total': 113.45, 'quantity': 1, 'discountedPrice': 113.45, 'discountPercentage': 1.0}, {'id': 98, 'price': 234.45, 'title': 'Product 98', 'total': 178.18, 'quantity': 1, 'discountedPrice': 178.18, 'discountPercentage': 24.0}]",5,10,3243.15,162.1600000000003,648.63,8e8fa507bacf00e4,2026-04-19T19:39:39.306863+00:00,1.0
103,72,"[{'id': 7, 'price': 271.01, 'title': 'Product 7', 'total': 707.34, 'quantity': 3, 'discountedPrice': 235.78, 'discountPercentage': 13.0}, {'id': 31, 'price': 31.53, 'title': 'Product 31', 'total': 87.02, 'quantity': 3, 'discountedPrice': 29.01, 'discountPercentage': 8.0}]",794.36,754.64,2,6,2025-04-25 00:56:02.422483+00:00,2025-04-25 06:56:02.422483+00:00,103,"[{'id': 7, 'price': 271.01, 'title': 'Product 7', 'total': 707.34, 'quantity': 3, 'discountedPrice': 235.78, 'discountPercentage': 13.0}, {'id': 31, 'price': 31.53, 'title': 'Product 31', 'total': 87.02, 'quantity': 3, 'discountedPrice': 29.01, 'discountPercentage': 8.0}]",2,6,794.36,39.72000000000003,397.18,ef6d1770faa75556,2026-04-19T19:39:39.306863+00:00,1.0
29,47,"[{'id': 49, 'price': 250.55, 'title': 'Product 49', 'total': 180.4, 'quantity': 1, 'discountedPrice': 180.4, 'discountPercentage': 28.000000000000004}, {'id': 1, 'price': 244.16, 'title': 'Product 1', 'total': 188.0, 'quantity': 1, 'discountedPrice': 188.0, 'discountPercentage': 23.0}, {'id': 68, 'price': 140.51, 'title': 'Product 68', 'total': 328.79, 'quantity': 3, 'discountedPrice': 109.6, 'discountPercentage': 22.0}, {'id': 67, 'price': 286.52, 'title': 'Product 67', 'total': 687.65, 'quantity': 3, 'discountedPrice': 229.22, 'discountPercentage': 20.0}]",1384.84,1315.6,4,8,2025-04-25 00:56:02.417483+00:00,2025-04-25 16:56:02.417483+00:00,29,"[{'id': 49, 'price': 250.55, 'title': 'Product 49', 'total': 180.4, 'quantity': 1, 'discountedPrice': 180.4, 'discountPercentage': 28.000000000000004}, {'id': 1, 'price': 244.16, 'title': 'Product 1', 'total': 188.0, 'quantity': 1, 'discountedPrice': 188.0, 'discountPercentage': 23.0}, {'id': 68, 'price': 140.51, 'title': 'Product 68', 'total': 328.79, 'quantity': 3, 'discountedPrice': 109.6, 'discountPercentage': 22.0}, {'id': 67, 'price': 286.52, 'title': 'Product 67', 'total': 687.65, 'quantity': 3, 'discountedPrice': 229.22, 'discountPercentage': 20.0}]",4,8,1384.84,69.24000000000001,346.21,da18cb61b4dbece2,2026-04-19T19:39:39.306863+00:00,1.0
179,46,"[{'id': 56, 'price': 91.08, 'title': 'Product 56', 'total': 245.92, 'quantity': 3, 'discountedPrice': 81.97, 'discountPercentage': 10.0}, {'id': 84, 'price': 239.08, 'title': 'Product 84', 'total': 401.65, 'quantity': 2, 'discountedPrice': 200.83, 'discountPercentage': 16.0}, {'id': 44, 'price': 402.97, 'title': 'Product 44', 'total': 1039.66, 'quantity': 3, 'discountedPrice': 346.55, 'discountPercentage': 14.000000000000002}, {'id': 98, 'price': 203.79, 'title': 'Product 98', 'total': 568.57, 'quantity': 3, 'discountedPrice': 189.52, 'discountPercentage': 7.000000000000001}, {'id': 58, 'price': 329.35, 'title': 'Product 58', 'total': 820.08, 'quantity': 3, 'discountedPrice': 273.36, 'discountPercentage': 17.0}]",3075.88,2922.09,5,14,2025-04-26 00:56:02.427483+00:00,2025-04-26 16:56:02.427483+00:00,179,"[{'id': 56, 'price': 91.08, 'title': 'Product 56', 'total': 245.92, 'quantity': 3, 'discountedPrice': 81.97, 'discountPercentage': 10.0}, {'id': 84, 'price': 239.08, 'title': 'Product 84', 'total': 401.65, 'quantity': 2, 'discountedPrice': 200.83, 'discountPercentage': 16.0}, {'id': 44, 'price': 402.97, 'title': 'Product 44', 'total': 1039.66, 'quantity': 3, 'discountedPrice': 346.55, 'discountPercentage': 14.000000000000002}, {'id': 98, 'price': 203.79, 'title': 'Product 98', 'total': 568.57, 'quantity': 3, 'discountedPrice': 189.52, 'discountPercentage': 7.000000000000001}, {'id': 58, 'price': 329.35, 'title': 'Product 58', 'total': 820.08, 'quantity': 3, 'discountedPrice': 273.36, 'discountPercentage': 17.0}]",5,14,3075.88,153.78999999999996,615.176,e000979caf1f9390,2026-04-19T19:39:39.306863+00:00,1.0
112,91,"[{'id': 18, 'price': 26.8, 'title': 'Product 18', 'total': 20.64, 'quantity': 1, 'discountedPrice': 20.64, 'discountPercentage': 23.0}, {'id': 50, 'price': 437.2, 'title': 'Product 50', 'total': 332.27, 'quantity': 1, 'discountedPrice': 332.27, 'discountPercentage': 24.0}]",352.91,335.26,2,2,2025-04-27 00:56:02.422483+00:00,2025-04-27 01:56:02.422483+00:00,112,"[{'id': 18, 'price': 26.8, 'title': 'Product 18', 'total': 20.64, 'quantity': 1, 'discountedPrice': 20.64, 'discountPercentage': 23.0}, {'id': 50, 'price': 437.2, 'title': 'Product 50', 'total': 332.27, 'quantity': 1, 'discountedPrice': 332.27, 'discountPercentage': 24.0}]",2,2,352.91,17.650000000000034,176.455,67ef4b3e67d9fb7b,2026-04-19T19:39:39.306863+00:00,1.0
156,84,"[{'id': 90, 'price': 369.97, 'title': 'Product 90', 'total': 910.13, 'quantity': 3, 'discountedPrice': 303.38, 'discountPercentage': 18.0}, {'id': 88, 'price': 151.99, 'title': 'Product 88', 'total': 237.1, 'quantity': 2, 'discountedPrice': 118.55, 'discountPercentage': 22.0}, {'id': 31, 'price': 171.93, 'title': 'Product 31', 'total': 149.58, 'quantity': 1, 'discountedPrice': 149.58, 'discountPercentage': 13.0}, {'id': 4, 'price': 482.2, 'title': 'Product 4', 'total': 819.74, 'quantity': 2, 'discountedPrice': 409.87, 'discountPercentage': 15.0}]",2116.55,2010.72,4,8,2025-04-27 00:56:02.425482+00:00,2025-04-27 04:56:02.425482+00:00,156,"[{'id': 90, 'price': 369.97, 'title': 'Product 90', 'total': 910.13, 'quantity': 3, 'discountedPrice': 303.38, 'discountPercentage': 18.0}, {'id': 88, 'price': 151.99, 'title': 'Product 88', 'total': 237.1, 'quantity': 2, 'discountedPrice': 118.55, 'discountPercentage': 22.0}, {'id': 31, 'price': 171.93, 'title': 'Product 31', 'total': 149.58, 'quantity': 1, 'discountedPrice': 149.58, 'discountPercentage': 13.0}, {'id': 4, 'price': 482.2, 'title': 'Product 4', 'total': 819.74, 'quantity': 2, 'discountedPrice': 409.87, 'discountPercentage': 15.0}]",4,8,2116.55,105.83000000000015,529.1375,7b49c847dcf126d2,2026-04-19T19:39:39.306863+00:00,1.0
86,53,"[{'id': 61, 'price': 325.94, 'title': 'Product 61', 'total': 547.58, 'quantity': 2, 'discountedPrice': 273.79, 'discountPercentage': 16.0}, {'id': 7, 'price': 242.02, 'title': 'Product 7', 'total': 198.46, 'quantity': 1, 'discountedPrice': 198.46, 'discountPercentage': 18.0}, {'id': 68, 'price': 143.85, 'title': 'Product 68', 'total': 256.05, 'quantity': 2, 'discountedPrice': 128.03, 'discountPercentage': 11.0}, {'id': 87, 'price': 458.85, 'title': 'Product 87', 'total': 825.93, 'quantity': 2, 'discountedPrice': 412.97, 'discountPercentage': 10.0}, {'id': 32, 'price': 281.17, 'title': 'Product 32', 'total': 607.33, 'quantity': 3, 'discountedPrice': 202.44, 'discountPercentage': 28.000000000000004}]",2435.35,2313.58,5,10,2025-04-28 00:56:02.421482+00:00,2025-04-28 15:56:02.421482+00:00,86,"[{'id': 61, 'price': 325.94, 'title': 'Product 61', 'total': 547.58, 'quantity': 2, 'discountedPrice': 273.79, 'discountPercentage': 16.0}, {'id': 7, 'price': 242.02, 'title': 'Product 7', 'total': 198.46, 'quantity': 1, 'discountedPrice': 198.46, 'discountPercentage': 18.0}, {'id': 68, 'price': 143.85, 'title': 'Product 68', 'total': 256.05, 'quantity': 2, 'discountedPrice': 128.03, 'discountPercentage': 11.0}, {'id': 87, 'price': 458.85, 'title': 'Product 87', 'total': 825.93, 'quantity': 2, 'discountedPrice': 412.97, 'discountPercentage': 10.0}, {'id': 32, 'price': 281.17, 'title': 'Product 32', 'total': 607.33, 'quantity': 3, 'discountedPrice': 202.44, 'discountPercentage': 28.000000000000004}]",5,10,2435.35,121.76999999999998,487.07,dde49cea5b184f99,2026-04-19T19:39:39.306863+00:00,1.0
159,12,"[{'id': 57, 'price': 168.05, 'title': 'Product 57', 'total': 378.11, 'quantity': 3, 'discountedPrice': 126.04, 'discountPercentage': 25.0}, {'id': 2, 'price': 61.62, 'title': 'Product 2', 'total': 153.43, 'quantity': 3, 'discountedPrice': 51.14, 'discountPercentage': 17.0}, {'id': 43, 'price': 423.74, 'title': 'Product 43', 'total': 779.68, 'quantity': 2, 'discountedPrice': 389.84, 'discountPercentage': 8.0}, {'id': 81, 'price': 138.57, 'title': 'Product 81', 'total': 340.88, 'quantity': 3, 'discountedPrice': 113.63, 'discountPercentage': 18.0}]",1652.1,1569.49,4,11,2025-04-29 00:56:02.426480+00:00,2025-04-29 02:56:02.426480+00:00,159,"[{'id': 57, 'price': 168.05, 'title': 'Product 57', 'total': 378.11, 'quantity': 3, 'discountedPrice': 126.04, 'discountPercentage': 25.0}, {'id': 2, 'price': 61.62, 'title': 'Product 2', 'total': 153.43, 'quantity': 3, 'discountedPrice': 51.14, 'discountPercentage': 17.0}, {'id': 43, 'price': 423.74, 'title': 'Product 43', 'total': 779.68, 'quantity': 2, 'discountedPrice': 389.84, 'discountPercentage': 8.0}, {'id': 81, 'price': 138.57, 'title': 'Product 81', 'total': 340.88, 'quantity': 3, 'discountedPrice': 113.63, 'discountPercentage': 18.0}]",4,11,1652.1,82.6099999999999,413.025,fe759a9b764fd256,2026-04-19T19:39:39.306863+00:00,1.0
